Species,Size (cm),Age Class,Location,Coral Bites,Rubble Bites,Sand Bites,Turf Bites,Macro Bites,CCA Bites,Sponge Bites,Collector
C spilururs,16,Adult,L,,29,,34,,,,Jake
C spilururs,18,Adult,L,2,,,49,,,,Jake
C spilururs,15,Adult,L,,,,65,,,,Jake
C spilururs,15,Adult,L,,37,,8,,,,Jake
C spilururs,18,Adult,L,,2,,32,,,,Jake
C spillurus,10,Adult,S,8,4,,,,,,Emily
C spillurus,15,Adult,S,15,4,,,,,,Emily
C spillurus,12,Adult,S,,6,,,,,,Emily
C spillurus,19,Adult,S,,41,,,,,,Emily
C spillurus,15.5,Adult,S,,23,,,,,,Emily
C spillurus,15,Adult,S,,25,1,,,,,Emily
